Sr. No,Words,Score (0-10),
250,जून,3,
251,चुलुगंड,4,
252,डूबो,1,
253,खतमाली,1,
254,गंडकटे,-6,
255,बांस,4,
256,लस्सान,1,
257,डंडा,2,
258,कीरा,2,
259,कीड़ा,2,
260,हज़ारचु,-7,
261,पेदैशिकीदा,-5,
262,काली,-5,
263,सफ़ीद,2,
264,पूत,2,
265,बेहेंडी,-5,
266,चुस,-6,
267,मचुडी,-10,
268,छोडूंगा,-8,
269,बापचु,-9,
270,लालटेन,-5,
271,सुहागचुदाई,-8,
272,रातचुड़ा,-7,
273,कालू,-6,
274,नीच,-7,
275,चिकन,-6,
276,मीठा,-6,
277,बीचका,-6,
278,चूचे,-8,
279,पेटीचोड,-8,
280,रुन्दी,-7,
281,मक्खी,1,
282,बिविचोड,-9,
283,छोडूंगा,-8,
284,हाथी,1,
285,कुटे,2,
286,झंटेन,-8,
287,काटी,3,
288,गंदी,3,
289,गधा,1,
290,बीमार,2,
291,बदबूदार,2,
292,दुम,2,
293,रांडसाला,-7,
294,फुडी,-7,
295,ढलान,-7,
296,कुसी,-7,
297,खंडनछोड़,-9,
298,घुस्सा,-6,
299,मारेय,4,
300,चिपकिलि,1,
301,अनडे,1,
302,बुद्ध,-7,
303,चारपाई,1,
304,चोदुन,-5,
305,छत्री,3,
306,फगड़ने,-6,
307,छोधो,-6,
308,मुल्लेकेतु,-6,
309,मुल्लिकातुई,-6,
310,मुल्लेकेबाल,-6,
311,मोमेदंकटु,-6,
312,कटुआ,-8,
313,चुटियापा,-8,
314,बीसी,-10,
315,एम सी,-10,
316,चुडवाया,-7,
317,कुट्टन,2,
318,जंगली,2,
319,वाहियाती,4,
320,जेहादी,4,
321,अतंकवादी,4,
322,अतंकवाड़ी,4,
323,अतंकिक,4,
324,अकराम्हशी,-5,from here
325,अकराम्हशीचा,-5,
326,अकराम्हशीच्या,-5,
327,आंद्या,-6,
328,आंद्याचा,-6,
329,आंद्याच्या,-6,
330,आंद्यात,-6,
331,आईघाला,-9,
332,आईघाल्,-9,
333,आईघाल्या,-9,
334,आईघाल्याचा,-9,
335,आईजवाडा,-9,
336,आईजवाडाचा,-9,
337,आईझव,-9,
338,आईझवली,-9,
339,आईझवलीचा,-9,
340,आईझवाडा,-9,
341,आईझवाडाचा,-9,
342,कँडल,-6,
343,कँडलचा,-6,
344,कँडलच्या,-6,
345,कृतघ्न,1,
346,गांड,-8,
347,गांडचा,-8,
348,गांडच्या,-8,
349,गांडीचा,-8,
350,गांडीत,-8,
351,गांडू,-8,
352,गांडूचा,-8,
353,गांडूच्या,-8,
354,गांडूत,-8,
355,गाढव,4,
356,गाढवागांडुळ,4,
357,गोट्या,-5,
358,गोट्याचा,-7,
359,गोट्याच्या,-7,
360,गोट्यात,-7,
361,चावट,4,
362,चीनाल,-8,
363,चीनालचा,-8,
364,चीनालच्या,-8,
365,चुत,-9,
366,चुतचा,-9,
367,चुतच्या,-9,
368,चुतत,-9,
369,चुतमारीचा,-9,
370,चुतमारीच्या,-9,
371,चुतमारीच्यात,-9,
372,छिनाल,-9,
373,छिनालचा,-9,
374,छिनालच्या,-9,
375,झवली,-9,
376,झवलीचा,-9,
377,झवलीत,-9,
378,झवाड्या,-9,
379,झवाड्याचा,-9,
380,झवाड्याच्या,-9,
381,झाटू,-9,
382,झाटूचा,-9,
383,झाटूच्या,-9,
384,झाटूत,-9,
385,नालायकच्यायला,4,
386,पागलगुदा,-5,
387,पुच्ची,-9,
388,पुच्चीचा,-9,
389,पुच्चीच्या,-9,
390,पुच्चीत,-9,
391,फोकणीच्या,2,
392,फोकणीच्याचा,2,
393,फोकणीच्यात,2,
394,फोद्री,-5,
395,फोद्रीचा,-5,
396,फोद्रीच्या,-5,
397,फोद्रीच्यात,-5,
398,फोद्रीत,-5,
399,बावळट,-6,
400,बावळटच्या,-6,
401,बावळटत,4,
402,बुडाला,1,
403,बुल्ली,-8,
404,बुल्लीचा,-8,
405,बुल्लीत,-8,
406,बेअक्कल,-6,
407,बेशरम,-8,
408,बोचा,-9,
409,बोचाच्या,-9,
410,बोचात,-9,
411,बोच्याबुल्लीच्या,-9,
412,भडवा,-9,
413,भडविच्या,-9,
414,भडव्या,-9,
415,भडव्यात,-9,
416,भुंड्,-7,
417,भुंड्त,-7,
418,भुंड्यात,-7,
419,भुंड्यातत,-7,
420,भोक,-6,
421,भोकचा,-9,
422,भोकत,-9,
423,भोकाच्या,-9,
424,भोसडा,-9,
425,भोसडाचा,-9,
426,भोसडात,-9,
427,भोसडीच्या,-9,
428,भोसडीच्यात,-9,
429,मंद,-6,
430,माईचा,-7,
431,माईचात,-8,
432,माईच्या,-8,
433,मादरचोद,-9,
434,मारीच्या,-9,
435,मारीच्यात,-9,
436,मुठ्ठया,-9,
437,मुठ्ठयाचा,-9,
438,मुठ्ठयात,-9,
439,मूर्ख,-5,
440,रंडी,-9,
441,रंडीचा,-9,
442,रंडीच्या,-9,
443,रंडीच्यात,-9,
444,रंडीत,-9,
445,रांड,-9,
446,रांडचा,-9,
447,रांडच्या,-9,
448,रांडीच्या,-9,
449,रांडीच्यात,-9,
450,लवड्या,-9,
451,लवड्याचा,-9,
452,लवड्याच्या,-9,
453,लवड्यात,-9,
454,साला,-6,
455,हरामखोर,-9,
456,हलकट,-7,
457,मासूमियत,1,
458,घुट-घुट,2,
459,मज़बूर,2,
460,मारेगए,-5,
461,छेड़छाड़,-8,
462,आतंकवाद,-8,
463,कमीनी,-8,
464,कुत्ते,2,
465,अकल,1,
466,समलैंगिक,-6,
467,गद्दारों,-6,
468,अपराधियों,-5,
469,अपहरण,4,
470,हत्या,-7,
471,शव,-6,
472,रामभक्त,3,
473,क्रुर,-8,
474,बलात्कार,-10,
475,बर्बरता,-8,
476,भांड,-6,
477,बेशर्म,-6,
478,घुसपैठ,4,
479,ड्रग्स,-8,
480,देशद्रोहि,-7,
481,दुश्मन,-5,
482,मुस्लिम,2,
483,तस्करी,-7,
484,ग़ुरुर,-6,
485,महामारी,-5,
486,गे,2,
487,लेस्बियन,2,
488,बाइसेक्शुअल,2,
489,एसेक्शुअल,2,
490,ͪपिछवाडे,-7,
491,आतंकी,-7,
492,धमकियां,-8,
493,जिहाद,-6,
494,ͧभिखारी,3,
495,जुल्म,-7,
496,ध्वस्त,-5,
497,गेंडास्वामी,-8,
498,कुचलती,-7,
499,पापी,-8,
500,अधर्मी,-8,
501,मनहूस,-8,
502,गरीबी,4,
503,भुखमरी,-5,
504,बेरोजगारी,4,
505,भ्रष्टाचार,-7,
506,नर्क,-6,
507,अश्लील,-9,
508,बर्ख़ास्त ,2,
509,गांजा ,2,
510,कुत्ते ,4,
511,मौत,-5,
512,मार ,-7,
513,मोदी ,3,
514,कांग्रेस ,-6,
515,क्रिमिनल ,-5,
516,एनकाउंटर,2,
517,पैसा ,3,
518,कमीना,4,
519,चमचेगीरी ,-6,
520,आप,3,
521,पाकिस्तान,-5,
522,मुरब्बा,4,
523,बु रों का,-5,
524,रेट ,4,
525,जिहादियों,-6,
526,आतंकवादी ,-6,
527,RSS,4,
528,VHP,4,
529,जिंदाबाद,4,
530,दोगले,-6,
531,मोदीजी,4,
532,जेएनयू,-6,
533,कुत्ते,-6,
534,लिटा,-5,
535,मारते,-6,
536,साले,-6,
537,पिटेगा,-6,
538,सांड,-6,
539,मस्जिद,4,
540,तोड़ा,-6,
541,जलाया ,-6,
542,हिंसक,4,
543,मारपीट,-6,
544,नुकसान,4,
545,अमित शाह,4,
546,घंटा ,-5,
547,केजरीवाल,4,
548,जूते ,-6,
549,चरित्र,-6,
550,परमाणु बम,-5,
551,चीन ,4,
552,भ्रष्टाचार ,-6,
553,सूअर की औलाद,-7,
554,सूअर,-5,
555,हरामी,-6,
556,नशेडी ,-7,
557,भोंकनेवाली ,-6,
558,कुतिया,-6,
559,कुत्ते की मौत,-7,
560,घसीट घसीट के मारेंगे,-8,
561,गुस्सा,4,
562,कार्रवाई ,-5,
563,पगला ,-7,
564,हत्या ,-5,
565,बलात्कार ,-6,
566,ढोंगी ,-6,
567,पाखंडियो ,-6,
568,खत्म ,-7,
569,पीटा ,-7,
570,मौत ,-7,
571,आरोप ,-5,
572,गिरफ्तार ,4,
573,कश्मीरी ,-5,
574,मुसलमान,-5,
575,अपराध ,-5,
576,हरामी ,-8,
577,गंजेडी,-8,
578,सत्यानाश ,4,
579,हमला ,-5,
580,अंडरवर्ल्ड ,-6,
581,आतंकवादियों,-8,
582,खराब ,-5,
583,साले ,-6,
584,चोर ,-7,
585,गिरफ्तार ,-5,
586,कुतिया,-7,
587,गांडी ,-6,
588,चूतियों ,-8,
589,गद्दार ,-7,
590,रेप ,-5,
591,शव ,3,
592,अंधभक्त,-8,
593,शैतान ,4,
594,गुमराह ,-5,
595,चुसलाम ,-6,
596,कुत्ते ,-7,
597,ठाकरे ,1,
598,ठीकरों ,2,
599,दुश्मनी ,3,
600,ऊपरी कमाई,-5,
601,घोटाले ,-6,
602,गिरफ्तार ,-6,
603,शहीद ,4,
604,ड्रग्स का धंधा,-5,
605,नाकाम ,-5,
606,तमाशे,-5,
607,गेंडे ,-7,
608,मूर्ख ,-5,
609,कमीना ,-6,
610,गलत ,4,
611,ज़ुल्म,-6,
612,सालो ,-6,
613,पेल दिया,-8,
614,मार डाला,-7,
615,जातिवाद ,-5,
616,मादरचोद ,-9,
617,गद्दार ,-5,
618,चुड़ैल ,-8,
619,आत्महत्या ,-5,
620,दुर्भाग्य ,-5,
621,बहिष्कार ,-6,
622,जान गई,-5,
623,मार दिया,-5,
624,विरोध ,-6,
625,मुस्लिमों चाल ,-5,
626, जुते चाट चेला है,-7,
627,अपमान ,-5,
628,प्राण त्याग,-5,
629,खून हत्या,-8,
630,जूता लात थप्पड़,-7,
631,हरामजादे,-6,
632,पढ़ा लिखा गंवा,-5,
633,रांङ,-7,
634,हिजडा ,-5,
635,देशद्रोही,-7,
636,ग़द्दारों ,-8,
637,चमचो ,-6,
638,चप्पल दे चप्पल,-5,
639,अपहरण ,-6,
640,शर्म ,-5,
641,खतरे में ,-6,
642,चूतिये साले,-7,
643,उखाड़ना ,4,
644,गिर रही है,-5,
645,कमीनी ,-7,
646,चुप साले,-6,
647,बवासीर ,3,
648,हेराफेरी,4,
649,फर्जी ,-6,
650,दल्ला ,-6,
651,पिटाई ,-7,
652,सुअर का पिल्ला,-8,
653,लूटवाकर ,-7,
654,लूट लिया,-7,
655,मालामाल ,-5,
656,गुलाम ,-6,
657,गाँड लाल,-8,
658,गुण्डा ,-7,
659,हरामी का पिल्ला,-8,
660,घूस,-6,
661,सूअर का गु,-8,
662,नक्सलवादी,-8,
663,सूअर,-7,
664,दलाली ,-7,
665,गिरावट ,-6,
666,ज़ुल्म ,-6,
667,पप्पू कमीना,-8,
668,भिकारचोट,-6,
